"ind" "pop" "Latitude" "Longitude"
"210" "646.bam" "Carysfort Shallow" 25.21649 -80.21662
"211" "648.bam" "Carysfort Shallow" 25.21649 -80.21662
"212" "649.bam" "Carysfort Shallow" 25.21649 -80.21662
"213" "650.bam" "Carysfort Deep" 25.2143 -80.21115
"214" "651.bam" "Carysfort Deep" 25.2143 -80.21115
"215" "652.bam" "Carysfort Deep" 25.2143 -80.21115
"216" "653.bam" "Carysfort Deep" 25.2143 -80.21115
"217" "666.bam" "Turtle Shell Grounds" 25.27644 -80.1785
"218" "667.bam" "Turtle Shell Grounds" 25.27644 -80.1785
"219" "668.bam" "Turtle Shell Grounds" 25.27644 -80.1785
"220" "670.bam" "Turtle Shell Grounds" 25.27644 -80.1785
"221" "676.bam" "Turtle Harbor" 25.28802 -80.23137
"222" "677.bam" "Turtle Harbor" 25.28802 -80.23137
"223" "678.bam" "Turtle Harbor" 25.28802 -80.23137
"224" "679.bam" "Turtle Harbor" 25.28802 -80.23137
"225" "680.bam" "Turtle Harbor" 25.28802 -80.23137
"226" "686.bam" "Basin Hill Shoals" 25.212001 -80.281
"227" "687.bam" "Basin Hill Shoals" 25.212001 -80.281
"228" "688.bam" "Basin Hill Shoals" 25.212001 -80.281
"229" "689.bam" "Basin Hill Shoals" 25.212001 -80.281
"230" "690.bam" "Basin Hill Shoals" 25.212001 -80.281
"231" "691.bam" "Elkhorn Reef (Old Rhodes 2)" 25.33511 -80.17372
"232" "692.bam" "Elkhorn Reef (Old Rhodes 2)" 25.33511 -80.17372
"233" "693.bam" "Elkhorn Reef (Old Rhodes 2)" 25.33511 -80.17372
"234" "694.bam" "Elkhorn Reef (Old Rhodes 2)" 25.33511 -80.17372
"235" "701.bam" "Ajax Deep" 25.39609 -80.13425
"236" "704.bam" "Ajax Deep" 25.39609 -80.13425
"237" "705.bam" "Ajax Deep" 25.39609 -80.13425
"238" "711.bam" "Ajax Shallow" 25.40838 -80.1332
"239" "714.bam" "Ajax Shallow" 25.40838 -80.1332
"240" "715.bam" "Ajax Shallow" 25.40838 -80.1332
"241" "721.bam" "Elliott Key" 25.44076 -80.1826
"242" "722.bam" "Elliott Key" 25.44076 -80.1826
"243" "723.bam" "Elliott Key" 25.44076 -80.1826
"244" "724.bam" "Elliott Key" 25.44076 -80.1826
"245" "725.bam" "Elliott Key" 25.44076 -80.1826
"246" "731.bam" "Bache Shoals" 25.48217 -80.15347
"247" "732.bam" "Bache Shoals" 25.48217 -80.15347
"248" "733.bam" "Bache Shoals" 25.48217 -80.15347
"249" "734.bam" "Bache Shoals" 25.48217 -80.15347
"250" "735.bam" "Bache Shoals" 25.48217 -80.15347
"251" "741.bam" "Triumph Reef" 25.4805 -80.1177
"252" "742.bam" "Triumph Reef" 25.4805 -80.1177
"253" "743.bam" "Triumph Reef" 25.4805 -80.1177
"254" "744.bam" "Triumph Reef" 25.4805 -80.1177
"255" "745.bam" "Triumph Reef" 25.4805 -80.1177
"256" "756.bam" "Fowey Rocks" 25.58826 -80.10108
"257" "757.bam" "Fowey Rocks" 25.58826 -80.10108
"258" "758.bam" "Fowey Rocks" 25.58826 -80.10108
"259" "759.bam" "Fowey Rocks" 25.58826 -80.10108
"260" "760.bam" "Fowey Rocks" 25.58826 -80.10108
"261" "81.bam" "DT.2" 24.63159 -82.80322
"262" "82.bam" "DT.2" 24.63159 -82.80322
"263" "83.bam" "DT.2" 24.63159 -82.80322
"264" "84.bam" "DT.2" 24.63159 -82.80322
"265" "85.bam" "DT.2" 24.63159 -82.80322
"266" "91.bam" "New Grounds Shoal" 24.66314 -82.44994
"267" "93.bam" "New Grounds Shoal" 24.66314 -82.44994
"268" "94.bam" "New Grounds Shoal" 24.66314 -82.44994
"269" "95.bam" "New Grounds Shoal" 24.66314 -82.44994
