"","indigo","yellow","blue","Sample"
"54",9.9999999999e-10,0.315131555656956,0.684868443343044,"285.bam"
"55",9.9999999996e-10,0.999999998,9.9999999996e-10,"291.bam"
"56",9.9999999998e-10,0.999999998,9.9999999998e-10,"292.bam"
"57",9.9999999999e-10,0.999999998,9.9999999999e-10,"293.bam"
"58",0.0183542975241604,0.878879409392684,0.102766293083156,"294.bam"
"59",9.9999999998e-10,0.999999998,9.9999999998e-10,"295.bam"
"60",0.0515076928918794,0.225382283400914,0.723110023707207,"301.bam"
"61",1e-09,0.916504461701677,0.083495537298323,"302.bam"
"62",0.00348922749297308,0.652495649858919,0.344015122648108,"304.bam"
"63",0.0494749724011296,0.172458074725773,0.778066952873097,"305.bam"
"64",0.0600536641729375,0.000266297331525529,0.939680038495537,"307.bam"
"65",0.0309617795283252,0.658941052277203,0.310097168194472,"308.bam"
"66",0.00352947486173353,0.421529726645615,0.574940798492651,"31.bam"
"67",6.0972880088052e-07,0.948152563682053,0.0518468265891458,"321.bam"
"68",0.0577856443543573,0.482154954930844,0.460059400714799,"323.bam"
"69",0.127346464592518,0.364875082707552,0.50777845269993,"326.bam"
"70",0.0695699447387229,0.502837708915931,0.427592346345346,"327.bam"
"71",0.472378634420188,0.0683692675402374,0.459252098039575,"328.bam"
"72",1e-09,0.26998371835074,0.73001628064926,"32.bam"
"73",1e-09,0.788065173057151,0.211934825942849,"330.bam"
"74",1.39430041238918e-05,0.470769781974224,0.529216275021652,"331.bam"
"75",0.0803663195934752,0.101266196250149,0.818367484156376,"333.bam"
"76",0.123058472370754,0.332224249801342,0.544717277827903,"335.bam"
"77",0.494666456874092,0.043137204353651,0.462196338772257,"336.bam"
"78",0.114853732563993,0.171379242590755,0.713767024845252,"338.bam"
"79",0.35140160581211,0.256721750865239,0.391876643322651,"339.bam"
"80",0.259319259953349,0.13733391421187,0.603346825834782,"340.bam"
"81",0.0966805317319871,0.168521890722812,0.734797577545201,"34.bam"
"82",0.038661993964618,0.30655312306447,0.654784882970912,"354.bam"
"83",0.0289011378950106,0.33347777601998,0.63762108608501,"355.bam"
"84",0.143516153018372,0.515525767128974,0.340958079852654,"35.bam"
"85",1.762067247934e-08,0.961595418159132,0.0384045642201954,"361.bam"
"86",0.0689783598310362,0.762027956993665,0.168993683175298,"362.bam"
"87",9.9999999999e-10,0.914756136984707,0.085243862015293,"363.bam"
"88",9.9999999998e-10,0.999999998,9.9999999998e-10,"364.bam"
"89",9.9999999997e-10,0.999999998,9.9999999997e-10,"365.bam"
"90",0.021241574290451,0.628676932736253,0.350081492973296,"36.bam"
"91",0.0314939556792473,0.842238095819699,0.126267948501053,"37.bam"
"92",9.9999999999e-10,0.831096442336207,0.168903556663793,"386.bam"
"93",0.172517282277333,0.348736309943609,0.478746407779058,"388.bam"
"94",0.0563552227434369,0.943644776256563,1e-09,"389.bam"
"95",0.000278139246541531,0.650294740343801,0.349427120409657,"38.bam"
"96",0.142101543674833,0.61620247666096,0.241695979664206,"390.bam"
"97",9.9999999999e-10,0.893128752276667,0.106871246723333,"391.bam"
"98",0.0646831656942497,0.224903816699987,0.710413017605764,"392.bam"
"99",0.0434275231508933,0.615705655142082,0.340866821707025,"393.bam"
"100",0.0180814275700634,0.289994178655603,0.691924393774334,"398.bam"
"101",9.9999999999e-10,0.630392260218902,0.369607738781098,"39.bam"
"102",9.9999999999e-10,0.77167727356845,0.22832272543155,"400.bam"
"103",9.9999999998e-10,0.999999998,9.9999999998e-10,"401.bam"
"104",9.9999999999e-10,0.50342056079495,0.49657943820505,"402.bam"
"105",9.9999999998e-10,0.995274778022081,0.0047252209779192,"404.bam"
"106",9.9999999998e-10,0.0759403412261204,0.92405965777388,"406.bam"
"107",0.0103397789937433,0.986654337995173,0.00300588301108342,"407.bam"
"108",9.9999999999e-10,0.65304361325891,0.34695638574109,"40.bam"
"109",0.999999998,9.9999999998e-10,9.9999999998e-10,"41.bam"
"110",0.424467922564871,0.0107475747201133,0.564784502715016,"420.bam"
"111",0.481828203875699,0.0906292621334722,0.427542533990828,"422.bam"
"112",0.999999998,9.9999999995e-10,9.9999999995e-10,"424.bam"
"113",9.9999999999e-10,0.145042822623904,0.854957176376096,"42.bam"
"114",0.0201607638309179,0.476513824410955,0.503325411758127,"430.bam"
"115",9.9999999998e-10,0.346518246042271,0.653481752957729,"431.bam"
"116",0.0792456193063146,0.509252198087762,0.411502182605924,"432.bam"
"117",0.0266414960820989,0.559642034835309,0.413716469082592,"434.bam"
"118",9.9999999997e-10,0.324582919253097,0.675417079746903,"436.bam"
"119",0.102534130759451,0.0128366512262205,0.884629218014329,"437.bam"
"120",0.000391178681348298,0.341548160666903,0.658060660651749,"438.bam"
